id,parentId,name,slug,description,sortOrder,isSystem,isActive
cat-components,,Components,components,Core computer hardware components,1,true,true
cat-cpus,cat-components,CPUs / Processors,cpus-processors,Central Processing Units,2,true,true
cat-cpus-intel,cat-cpus,Intel CPUs,intel-cpus,Intel Core i3/i5/i7/i9 and Xeon Processors,3,true,true
cat-cpus-amd,cat-cpus,AMD CPUs,amd-cpus,AMD Ryzen and EPYC Processors,4,true,true
cat-motherboards,cat-components,Motherboards,motherboards,System circuit boards,5,true,true
cat-mb-intel,cat-motherboards,Intel Motherboards,intel-motherboards,LGA1700 and LGA1200 motherboards,6,true,true
cat-mb-amd,cat-motherboards,AMD Motherboards,amd-motherboards,AM5 and AM4 motherboards,7,true,true
cat-ram,cat-components,RAM / Memory,ram-memory,Desktop and laptop system memory,8,true,true
cat-ram-ddr4,cat-ram,DDR4 RAM,ddr4-ram,DDR4 memory kits,9,true,true
cat-ram-ddr5,cat-ram,DDR5 RAM,ddr5-ram,High-speed DDR5 memory kits,10,true,true
cat-ram-sodimm,cat-ram,Laptop SODIMM RAM,laptop-sodimm-ram,Small Form Factor SODIMM memory,11,true,true
cat-gpu,cat-components,Graphics Cards,graphics-cards,Dedicated video and workstation graphics,12,true,true
cat-gpu-nvidia,cat-gpu,NVIDIA RTX Graphics,nvidia-rtx-graphics,GeForce RTX 40 and 30 series,13,true,true
cat-gpu-amd,cat-gpu,AMD Radeon Graphics,amd-radeon-graphics,Radeon RX 7000 and 6000 series,14,true,true
cat-gpu-workstation,cat-gpu,Workstation GPUs,workstation-gpus,NVIDIA RTX A-series and AMD Radeon PRO,15,true,true
cat-storage,cat-components,Storage Devices,storage-devices,Solid State Drives and Hard Drives,16,true,true
cat-ssd-nvme,cat-storage,M.2 NVMe SSDs,m2-nvme-ssds,High speed PCIe NVMe storage,17,true,true
cat-ssd-sata,cat-storage,SATA SSDs,sata-ssds,2.5 inch SATA solid state drives,18,true,true
cat-hdd-internal,cat-storage,Internal Hard Drives,internal-hard-drives,3.5 inch desktop and NAS hard drives,19,true,true
cat-hdd-external,cat-storage,External Drives,external-drives,Portable USB external drives,20,true,true
cat-psu,cat-components,Power Supplies (PSU),power-supplies-psu,80 Plus certified power supply units,21,true,true
cat-cases,cat-components,Computer Cases,computer-cases,ATX mid-towers and SFF chassis,22,true,true
cat-cooling,cat-components,Cooling & Fans,cooling-fans,AIO liquid coolers and CPU fans,23,true,true
